Length Units,meter
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) Velocity Magnitude - m/s
1,5.0000000e-01,-2.6086956e-02,2.7105000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
2,5.0000000e-01,-2.6086956e-02,2.5195000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
3,5.0000000e-01,-2.6086956e-02,2.3285000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
4,5.0000000e-01,-2.6086956e-02,2.1375000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
5,5.0000000e-01,-2.6086956e-02,1.9464999e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
6,5.0000000e-01,-2.6086956e-02,1.7555000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
7,5.0000000e-01,-2.6086956e-02,1.5645000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
8,5.0000000e-01,-2.6086956e-02,1.3735000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
9,5.0000000e-01,-2.6086956e-02,1.1824999e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
10,5.0000000e-01,-2.6086956e-02,9.9149990e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
11,5.0000000e-01,-2.6086956e-02,8.0049992e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
12,5.0000000e-01,-2.6086956e-02,6.0949993e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
13,5.0000000e-01,-2.6086956e-02,4.1849995e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
14,5.0000000e-01,-2.6086956e-02,2.2749996e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
15,5.0000000e-01,-2.6086956e-02,3.6499977e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
16,5.0000000e-01,-2.6086956e-02,-1.5450001e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
17,5.0000000e-01,1.5652174e-01,2.7105000e+00,1.7385231e-02,-1.1067850e-02,-4.3776575e-03,2.1069111e-02
18,5.0000000e-01,1.5652174e-01,2.5195000e+00,3.9983238e-03,-4.0469836e-03,-1.3223357e-02,1.4395203e-02
19,5.0000000e-01,1.5652174e-01,2.3285000e+00,1.4632415e-03,-2.9265445e-03,-2.6067263e-02,2.6271807e-02
20,5.0000000e-01,1.5652174e-01,2.1375000e+00,8.7244075e-04,-1.4482329e-03,-3.3702098e-02,3.3744480e-02
21,5.0000000e-01,1.5652174e-01,1.9464999e+00,1.6210814e-03,-7.4520113e-04,-4.2655315e-02,4.2692613e-02
22,5.0000000e-01,1.5652174e-01,1.7555000e+00,2.5539729e-03,-2.6961474e-04,-4.3672994e-02,4.3748438e-02
23,5.0000000e-01,1.5652174e-01,1.5645000e+00,3.3677993e-03,3.3249264e-05,-4.5108214e-02,4.5233775e-02
24,5.0000000e-01,1.5652174e-01,1.3735000e+00,4.5553627e-03,9.1873459e-05,-4.4211417e-02,4.4445574e-02
25,5.0000000e-01,1.5652174e-01,1.1824999e+00,6.1224466e-03,2.9387767e-04,-4.5880627e-02,4.6288256e-02
26,5.0000000e-01,1.5652174e-01,9.9149990e-01,6.9893445e-03,2.7254104e-04,-4.6444405e-02,4.6968158e-02
27,5.0000000e-01,1.5652174e-01,8.0049992e-01,8.1292223e-03,6.6726399e-04,-3.8211137e-02,3.9071992e-02
28,5.0000000e-01,1.5652174e-01,6.0949993e-01,8.6928848e-03,1.1645861e-03,-3.2129038e-02,3.3304617e-02
29,5.0000000e-01,1.5652174e-01,4.1849995e-01,9.7923754e-03,1.9359242e-03,-3.4851737e-02,3.6253028e-02
30,5.0000000e-01,1.5652174e-01,2.2749996e-01,1.6889790e-02,8.1495233e-03,-2.9031601e-02,3.4561738e-02
31,5.0000000e-01,1.5652174e-01,3.6499977e-02,3.2361444e-02,2.1066839e-02,-2.8396888e-02,4.7931802e-02
32,5.0000000e-01,1.5652174e-01,-1.5450001e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
33,5.0000000e-01,3.3913043e-01,2.7105000e+00,8.8494373e-03,-2.4354193e-02,2.7865223e-03,2.6061542e-02
34,5.0000000e-01,3.3913043e-01,2.5195000e+00,6.1218021e-04,-1.5202631e-02,2.8728459e-03,1.5483798e-02
35,5.0000000e-01,3.3913043e-01,2.3285000e+00,1.9949111e-03,-8.1617255e-03,-2.9160772e-03,8.8936463e-03
36,5.0000000e-01,3.3913043e-01,2.1375000e+00,2.8411620e-03,-4.4777612e-03,-3.7068930e-03,6.4702090e-03
37,5.0000000e-01,3.3913043e-01,1.9464999e+00,3.9286413e-03,-2.4864872e-03,-3.7844842e-03,5.9949281e-03
38,5.0000000e-01,3.3913043e-01,1.7555000e+00,4.9394146e-03,-1.0086991e-03,-2.5274858e-03,5.6394567e-03
39,5.0000000e-01,3.3913043e-01,1.5645000e+00,5.4784906e-03,-2.2939639e-04,-1.9322282e-03,5.8137756e-03
40,5.0000000e-01,3.3913043e-01,1.3735000e+00,6.8974267e-03,1.5902231e-04,5.3944075e-03,8.7578204e-03
41,5.0000000e-01,3.3913043e-01,1.1824999e+00,8.6107552e-03,7.0095691e-04,1.1573222e-02,1.4442158e-02
42,5.0000000e-01,3.3913043e-01,9.9149990e-01,1.0161811e-02,9.1447495e-04,1.6599761e-02,1.9484628e-02
43,5.0000000e-01,3.3913043e-01,8.0049992e-01,1.0886255e-02,-3.8729468e-04,2.1049798e-02,2.3701360e-02
44,5.0000000e-01,3.3913043e-01,6.0949993e-01,1.1947053e-02,-1.2926792e-04,2.0734422e-02,2.3930421e-02
