Length Units,meter
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) Velocity Magnitude - m/s
1,4.0999813e+00,3.8000002e+00,2.7041333e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
2,4.0999837e+00,3.8000002e+00,2.5004001e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
3,4.0999866e+00,3.8000002e+00,2.2966666e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
4,4.0999894e+00,3.8000002e+00,2.0929332e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
5,4.0999918e+00,3.8000002e+00,1.8892000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
6,4.0999947e+00,3.8000002e+00,1.6854666e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
7,4.0999970e+00,3.8000002e+00,1.4817332e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
8,4.0999999e+00,3.8000000e+00,1.2779999e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
9,4.1000023e+00,3.8000000e+00,1.0742666e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
10,4.1000051e+00,3.8000000e+00,8.7053317e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
11,4.1000080e+00,3.8000000e+00,6.6679972e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
12,4.1000104e+00,3.8000000e+00,4.6306655e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
13,4.1000133e+00,3.8000000e+00,2.5933310e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
14,4.1000156e+00,3.8000000e+00,5.5599902e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
15,4.1000185e+00,3.8000000e+00,-1.4813355e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
16,4.0999813e+00,3.6000001e+00,2.7041333e+00,2.7664106e-02,3.7771291e-03,-7.8250086e-03,2.8996555e-02
17,4.0999837e+00,3.6000001e+00,2.5004001e+00,3.6569379e-02,-7.9133203e-03,-3.2975312e-02,4.9872953e-02
18,4.0999866e+00,3.6000001e+00,2.2966666e+00,3.3340614e-02,-9.8937089e-03,-4.9005568e-02,6.0091827e-02
19,4.0999894e+00,3.6000001e+00,2.0929332e+00,2.5445316e-02,-9.8306751e-03,-5.7121653e-02,6.3300788e-02
20,4.0999918e+00,3.6000001e+00,1.8892000e+00,1.8662119e-02,-8.4596798e-03,-5.7506800e-02,6.1048120e-02
21,4.0999947e+00,3.6000001e+00,1.6854666e+00,1.3321320e-02,-6.1841211e-03,-5.4604203e-02,5.6544848e-02
22,4.0999970e+00,3.6000001e+00,1.4817332e+00,8.9733023e-03,-5.3958334e-03,-4.9097888e-02,5.0201967e-02
23,4.0999999e+00,3.5999999e+00,1.2779999e+00,6.9936272e-03,-5.1402827e-03,-3.9210446e-02,4.0159587e-02
24,4.1000023e+00,3.5999999e+00,1.0742666e+00,4.6231090e-03,-4.8661521e-03,-3.2479204e-02,3.3165514e-02
25,4.1000051e+00,3.5999999e+00,8.7053323e-01,3.6025140e-03,-4.5167827e-03,-2.3549594e-02,2.4247944e-02
26,4.1000080e+00,3.5999999e+00,6.6679978e-01,2.2574419e-03,-3.5521137e-03,-1.5360323e-02,1.5926490e-02
27,4.1000104e+00,3.5999999e+00,4.6306655e-01,1.8032737e-03,-1.4426552e-03,-2.1993048e-03,3.1890424e-03
28,4.1000133e+00,3.5999999e+00,2.5933310e-01,1.9016603e-03,-3.0501909e-03,3.4029754e-03,4.9497695e-03
29,4.1000156e+00,3.5999999e+00,5.5599920e-02,-1.1822069e-02,-1.3968365e-02,-1.4493617e-02,2.3343980e-02
30,4.1000185e+00,3.5999999e+00,-1.4813353e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
31,4.0999813e+00,3.4000001e+00,2.7041333e+00,4.3254986e-02,-1.1107211e-02,-2.8849524e-03,4.4751391e-02
32,4.0999837e+00,3.4000001e+00,2.5004001e+00,4.1501801e-02,-1.8990461e-02,-1.9188957e-02,4.9510133e-02
33,4.0999866e+00,3.4000001e+00,2.2966666e+00,2.9488586e-02,-2.1060333e-02,-3.2371573e-02,4.8590463e-02
34,4.0999894e+00,3.4000001e+00,2.0929332e+00,1.8713454e-02,-1.9649938e-02,-3.7720077e-02,4.6466306e-02
35,4.0999918e+00,3.4000001e+00,1.8892001e+00,1.0479446e-02,-1.7426683e-02,-3.7232842e-02,4.2423964e-02
36,4.0999947e+00,3.4000001e+00,1.6854668e+00,4.4876868e-03,-1.5284516e-02,-2.9996609e-02,3.3963986e-02
37,4.0999970e+00,3.4000001e+00,1.4817333e+00,-6.0317339e-05,-1.4455982e-02,-1.7207528e-02,2.2473942e-02
38,4.0999999e+00,3.3999999e+00,1.2780000e+00,-2.0396248e-03,-1.3548081e-02,-6.5905973e-03,1.5203504e-02
39,4.1000023e+00,3.3999999e+00,1.0742667e+00,-3.5306485e-03,-1.1814382e-02,1.6495304e-02,2.0594662e-02
40,4.1000051e+00,3.3999999e+00,8.7053323e-01,-3.1666765e-03,-1.0778785e-02,2.4377991e-02,2.6842065e-02
41,4.1000080e+00,3.3999999e+00,6.6679978e-01,-3.7079821e-03,-9.4404146e-03,3.3379626e-02,3.4886528e-02
42,4.1000104e+00,3.3999999e+00,4.6306658e-01,-4.1832412e-03,-8.2726832e-03,3.2530427e-02,3.3825513e-02
43,4.1000133e+00,3.3999999e+00,2.5933313e-01,-6.5204562e-03,-9.3874121e-03,2.4966775e-02,2.7458690e-02
44,4.1000156e+00,3.3999999e+00,5.5599935e-02,-1.2472315e-02,-1.2079541e-02,1.7111057e-02,2.4377495e-02
45,4.1000185e+00,3.3999999e+00,-1.4813352e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
46,4.0999813e+00,3.2000000e+00,2.7041333e+00,4.6492290e-02,-2.7640337e-02,-6.0475683e-03,5.4425124e-02
47,4.0999837e+00,3.2000000e+00,2.5004001e+00,4.3728020e-02,-3.0419266e-02,-1.5654363e-02,5.5520542e-02
48,4.0999866e+00,3.2000000e+00,2.2966666e+00,2.5110094e-02,-2.8589468e-02,-2.3284916e-02,4.4610109e-02
49,4.0999894e+00,3.2000000e+00,2.0929332e+00,1.0281493e-02,-2.5675975e-02,-2.8124889e-02,3.9445836e-02
50,4.0999918e+00,3.2000000e+00,1.8892001e+00,3.1542431e-03,-2.2962805e-02,-2.7254671e-02,3.5777882e-02
51,4.0999947e+00,3.2000000e+00,1.6854668e+00,-2.3944369e-03,-2.1436684e-02,-2.2396186e-02,3.1094275e-02
52,4.0999970e+00,3.2000000e+00,1.4817333e+00,-5.1487032e-03,-2.0764170e-02,-1.0399589e-02,2.3786789e-02
53,4.0999999e+00,3.1999998e+00,1.2780000e+00,-6.5678824e-03,-1.9473553e-02,5.9864260e-03,2.1405458e-02
54,4.1000023e+00,3.1999998e+00,1.0742667e+00,-5.8734515e-03,-1.6917948e-02,1.7031521e-02,2.4714107e-02
55,4.1000051e+00,3.1999998e+00,8.7053323e-01,-4.1362909e-03,-1.1982025e-02,3.0926019e-02,3.3422995e-02
56,4.1000080e+00,3.1999998e+00,6.6679978e-01,-4.0044207e-03,-9.8548410e-03,3.9991397e-02,4.1381940e-02
57,4.1000104e+00,3.1999998e+00,4.6306661e-01,-4.4746771e-03,-4.8277387e-03,3.2278713e-02,3.2943059e-02
58,4.1000133e+00,3.1999998e+00,2.5933316e-01,-6.7317765e-03,-2.3442055e-03,2.3799967e-02,2.4844527e-02
59,4.1000156e+00,3.1999998e+00,5.5599954e-02,-1.0019888e-02,-1.1683758e-03,1.3020322e-02,1.6470946e-02
60,4.1000185e+00,3.1999998e+00,-1.4813350e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
