Length Units,meter
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) Velocity Magnitude - m/s
1,3.4999812e+00,3.8086958e+00,2.7105000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
2,3.4999838e+00,3.8086958e+00,2.5195000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
3,3.4999862e+00,3.8086958e+00,2.3285000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
4,3.4999888e+00,3.8086958e+00,2.1375000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
5,3.4999912e+00,3.8086958e+00,1.9464999e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
6,3.4999938e+00,3.8086958e+00,1.7555000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
7,3.4999962e+00,3.8086958e+00,1.5645000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
8,3.4999988e+00,3.8086958e+00,1.3735000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
9,3.5000012e+00,3.8086956e+00,1.1824999e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
10,3.5000038e+00,3.8086956e+00,9.9149984e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
11,3.5000062e+00,3.8086956e+00,8.0049986e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
12,3.5000088e+00,3.8086956e+00,6.0949987e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
13,3.5000112e+00,3.8086956e+00,4.1849992e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
14,3.5000138e+00,3.8086956e+00,2.2749995e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
15,3.5000162e+00,3.8086956e+00,3.6499958e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
16,3.5000186e+00,3.8086956e+00,-1.5450002e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
17,3.4999812e+00,3.6260870e+00,2.7105000e+00,9.2180736e-02,6.6340445e-03,-7.5478693e-03,9.2726849e-02
18,3.4999838e+00,3.6260870e+00,2.5195000e+00,9.2388883e-02,-3.2166799e-03,-1.2765336e-02,9.3322054e-02
19,3.4999862e+00,3.6260870e+00,2.3285000e+00,7.0435919e-02,-2.6602726e-03,-1.1126849e-02,7.1358971e-02
20,3.4999888e+00,3.6260870e+00,2.1375000e+00,4.7722843e-02,-5.4214092e-04,-1.0775526e-02,4.8927248e-02
21,3.4999912e+00,3.6260870e+00,1.9464999e+00,3.1501681e-02,1.2375979e-03,-1.2690945e-02,3.3984520e-02
22,3.4999938e+00,3.6260870e+00,1.7555000e+00,1.9727558e-02,1.1716690e-03,-1.5708027e-02,2.5244633e-02
23,3.4999962e+00,3.6260870e+00,1.5645000e+00,1.2526043e-02,8.8096922e-04,-1.8820193e-02,2.2624709e-02
24,3.4999988e+00,3.6260870e+00,1.3735000e+00,9.1273319e-03,-1.4712135e-04,-1.9656468e-02,2.1672715e-02
25,3.5000012e+00,3.6260867e+00,1.1824999e+00,5.9856907e-03,-1.2254161e-03,-1.8738385e-02,1.9709319e-02
26,3.5000038e+00,3.6260867e+00,9.9149990e-01,2.9630971e-03,-1.5461529e-03,-1.7119044e-02,1.7442254e-02
27,3.5000062e+00,3.6260867e+00,8.0049992e-01,5.7120377e-04,-1.9106995e-03,-1.4362164e-02,1.4499959e-02
28,3.5000088e+00,3.6260867e+00,6.0949993e-01,-1.5176849e-03,-5.5313023e-04,-1.3038757e-02,1.3138437e-02
29,3.5000112e+00,3.6260867e+00,4.1849992e-01,-9.2356891e-04,1.1375502e-03,-1.3708394e-02,1.3786482e-02
30,3.5000138e+00,3.6260867e+00,2.2749996e-01,1.4944654e-03,-1.4959399e-03,-1.3046920e-02,1.3217163e-02
