Length Units,meter
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) Velocity Magnitude - m/s
1,2.2999806e+00,3.8500001e+00,2.7567096e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
2,2.2999818e+00,3.8500001e+00,2.6581290e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
3,2.2999830e+00,3.8500001e+00,2.5595484e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
4,2.2999845e+00,3.8500001e+00,2.4609678e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
5,2.2999856e+00,3.8500001e+00,2.3623869e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
6,2.2999871e+00,3.8500001e+00,2.2638063e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
7,2.2999883e+00,3.8500001e+00,2.1652257e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
8,2.2999895e+00,3.8500001e+00,2.0666451e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
9,2.2999909e+00,3.8500001e+00,1.9680644e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
10,2.2999921e+00,3.8500001e+00,1.8694837e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
11,2.2999935e+00,3.8500001e+00,1.7709031e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
12,2.2999947e+00,3.8500001e+00,1.6723225e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
13,2.2999961e+00,3.8500001e+00,1.5737418e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
14,2.2999973e+00,3.8500001e+00,1.4751612e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
15,2.2999985e+00,3.8500001e+00,1.3765805e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
16,2.3000000e+00,3.8499999e+00,1.2779999e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
