Length Units,meter
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) Velocity Magnitude - m/s
1,1.3400000e+00,-4.9999982e-02,2.7567096e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
2,1.3400000e+00,-4.9999982e-02,2.6581290e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
3,1.3400000e+00,-4.9999982e-02,2.5595484e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
4,1.3400000e+00,-4.9999982e-02,2.4609678e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
5,1.3400000e+00,-4.9999982e-02,2.3623872e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
6,1.3400000e+00,-4.9999982e-02,2.2638063e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
7,1.3400000e+00,-4.9999982e-02,2.1652257e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
8,1.3400000e+00,-4.9999982e-02,2.0666451e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
9,1.3400000e+00,-4.9999982e-02,1.9680645e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
10,1.3400000e+00,-4.9999982e-02,1.8694839e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
11,1.3400000e+00,-4.9999982e-02,1.7709032e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
12,1.3400000e+00,-4.9999982e-02,1.6723226e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
13,1.3400000e+00,-4.9999982e-02,1.5737419e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
14,1.3400000e+00,-4.9999982e-02,1.4751613e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
15,1.3400000e+00,-4.9999982e-02,1.3765806e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
16,1.3400000e+00,-4.9999982e-02,1.2780000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
17,1.3400000e+00,-4.9999982e-02,1.1794194e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
18,1.3400000e+00,-4.9999982e-02,1.0808387e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
19,1.3400000e+00,-4.9999982e-02,9.8225808e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
20,1.3400000e+00,-4.9999982e-02,8.8367736e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
21,1.3400000e+00,-4.9999982e-02,7.8509688e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
22,1.3400000e+00,-4.9999982e-02,6.8651605e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
23,1.3400000e+00,-4.9999982e-02,5.8793545e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
24,1.3400000e+00,-4.9999982e-02,4.8935485e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
25,1.3400000e+00,-4.9999982e-02,3.9077425e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
26,1.3400000e+00,-4.9999982e-02,2.9219365e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
27,1.3400000e+00,-4.9999982e-02,1.9361281e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
28,1.3400000e+00,-4.9999982e-02,9.5032215e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
29,1.3400000e+00,-4.9999982e-02,-3.5483837e-03,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
30,1.3400000e+00,-4.9999982e-02,-1.0212898e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
31,1.3400000e+00,-4.9999982e-02,-2.0070958e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
32,1.3400000e+00,5.0000012e-02,2.7567096e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
33,1.3400000e+00,5.0000012e-02,2.6581290e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
34,1.3400000e+00,5.0000012e-02,2.5595484e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
