Length Units,meter
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) Velocity Magnitude - m/s
1,1.0999811e+00,3.8222222e+00,2.7296000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
2,1.0999831e+00,3.8222222e+00,2.5767999e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
3,1.0999851e+00,3.8222222e+00,2.4240000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
4,1.0999870e+00,3.8222222e+00,2.2711999e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
5,1.0999891e+00,3.8222222e+00,2.1183999e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
6,1.0999911e+00,3.8222222e+00,1.9655999e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
7,1.0999931e+00,3.8222222e+00,1.8127999e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
8,1.0999951e+00,3.8222222e+00,1.6599998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
9,1.0999970e+00,3.8222222e+00,1.5071999e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
10,1.0999991e+00,3.8222220e+00,1.3543998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
11,1.1000011e+00,3.8222220e+00,1.2015998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
12,1.1000031e+00,3.8222220e+00,1.0487998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
13,1.1000051e+00,3.8222220e+00,8.9599979e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
14,1.1000071e+00,3.8222220e+00,7.4319983e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
15,1.1000091e+00,3.8222220e+00,5.9039974e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
16,1.1000111e+00,3.8222220e+00,4.3759969e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
17,1.1000131e+00,3.8222220e+00,2.8479961e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
18,1.1000150e+00,3.8222220e+00,1.3199975e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
19,1.1000171e+00,3.8222220e+00,-2.0800343e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
