Iteration,Time Step,Time,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
1,1,1,0,0.0351989,0,0,21.195,0.000539634,0.996485,0
2,1,1,3.29E-07,0.0357973,-5.34E-07,0,21.195,0.000539634,0.996485,0
3,1,1,3.79E-07,0.0360604,-2.64E-06,0,21.195,0.000539634,0.996485,0
4,1,1,4.67E-07,0.036183,-4.20E-06,0,21.195,0.000539634,0.996485,0
5,1,1,5.90E-07,0.0362376,-5.13E-06,0,21.195,0.000539634,0.996485,0
6,1,1,6.95E-07,0.0362587,-5.66E-06,0,21.195,0.000539634,0.996485,0
7,1,1,7.54E-07,0.0362637,-5.97E-06,0,21.195,0.000539634,0.996485,0
8,1,1,7.68E-07,0.036261,-6.16E-06,0,21.195,0.000539634,0.996485,0
9,1,1,7.45E-07,0.0362552,-6.27E-06,0,21.195,0.000539634,0.996485,0
10,1,1,0.217266,0.121628,0.0382004,1.16898,21.195,0.000539634,0.996485,0
11,2,2,0.259552,0.146136,0.0561921,1.16898,21.195,0.00845705,0.664157,0
12,2,2,0.281872,0.155251,0.0596527,1.16898,21.195,0.128088,0.355607,0
13,2,2,0.299219,0.162843,0.0621146,1.16898,21.195,0.217301,0.208174,0
14,2,2,0.313196,0.169241,0.0640516,1.16898,21.195,0.287189,0.140337,0
15,2,2,0.324702,0.174661,0.0656455,1.16898,21.195,0.342761,0.112117,0
16,2,2,0.334273,0.179272,0.0669874,1.16898,21.195,0.387434,0.10314,0
17,2,2,0.342305,0.183209,0.0681318,1.16898,21.195,0.423487,0.103173,0
18,2,2,0.349073,0.186578,0.0691155,1.16898,21.195,0.452596,0.106589,0
19,2,2,0.354794,0.189468,0.0699661,1.16898,21.195,0.476157,0.110896,0
20,2,2,0.242461,0.143258,0.045015,0.40316,21.195,0.472154,0.106585,0
21,3,3,0.246772,0.149137,0.0504614,0.40316,21.195,0.49988,0.0933932,0
22,3,3,0.247568,0.150515,0.0506554,0.40316,21.195,0.508663,0.0887669,0
23,3,3,0.249397,0.152242,0.050757,0.40316,21.195,0.512683,0.0872799,0
24,3,3,0.252061,0.154401,0.0508764,0.40316,21.195,0.514456,0.0871212,0
25,3,3,0.255385,0.156936,0.0510392,0.40316,21.195,0.515109,0.0876189,0
26,3,3,0.259209,0.159771,0.0512439,0.40316,21.195,0.515154,0.0885197,0
27,3,3,0.263402,0.162832,0.0514825,0.40316,21.195,0.514836,0.0896931,0
28,3,3,0.267854,0.166047,0.0517455,0.40316,21.195,0.514283,0.0910851,0
29,3,3,0.272475,0.169357,0.052025,0.40316,21.195,0.513557,0.0926324,0
30,3,3,0.24914,0.147692,0.043077,0.282816,21.195,0.512156,0.0914448,0
31,4,4,0.254948,0.1514,0.0457825,0.282816,21.195,0.513545,0.0880005,0
32,4,4,0.257841,0.152972,0.0456265,0.282816,21.195,0.508218,0.0870365,0
33,4,4,0.261034,0.154572,0.0455259,0.282816,21.195,0.503285,0.086987,0
34,4,4,0.264383,0.156257,0.0454722,0.282816,21.195,0.499156,0.0873802,0
35,4,4,0.26781,0.157989,0.045454,0.282816,21.195,0.495827,0.088149,0
36,4,4,0.271249,0.159732,0.045451,0.282816,21.195,0.493179,0.0892579,0
37,4,4,0.274646,0.161453,0.0454645,0.282816,21.195,0.491079,0.0909711,0
38,4,4,0.277966,0.163124,0.0454946,0.282816,21.195,0.489411,0.0926498,0
39,4,4,0.281183,0.16472,0.0455276,0.282816,21.195,0.48807,0.0937689,0
40,4,4,0.257355,0.151995,0.0417483,0.180352,21.195,0.48606,0.0916932,0
41,5,5,0.261543,0.153482,0.0429625,0.180352,21.195,0.474682,0.0893187,0
42,5,5,0.263748,0.154066,0.0427685,0.180352,21.195,0.464176,0.0877279,0
43,5,5,0.266004,0.15465,0.0426552,0.180352,21.195,0.456215,0.0881755,0
44,5,5,0.268214,0.155275,0.0425814,0.180352,21.195,0.450243,0.0905449,0
45,5,5,0.27035,0.155912,0.0425343,0.180352,21.195,0.445776,0.0909798,0
46,5,5,0.272388,0.156541,0.04251,0.180352,21.195,0.442426,0.0919085,0
47,5,5,0.274314,0.157151,0.0425009,0.180352,21.195,0.43991,0.0921325,0
48,5,5,0.27612,0.157726,0.0425006,0.180352,21.195,0.438009,0.0928967,0
49,5,5,0.277797,0.15826,0.0425054,0.180352,21.195,0.436559,0.0924394,0
50,5,5,0.264533,0.154184,0.0409216,0.131489,21.195,0.435277,0.0910439,0
51,6,6,0.267554,0.154855,0.0413544,0.131489,21.195,0.419811,0.0910612,0
52,6,6,0.272501,0.1559,0.0414216,0.131489,21.195,0.409233,0.0863466,0
53,6,6,0.275957,0.156649,0.0414455,0.131489,21.195,0.401784,0.0863065,0
